seed,t,T,algorithm,revenue,regret_cumulative,simple_regret,opt_joint_oracle,opt_indep_product_surrogate,gap_joint_minus_indep_product,a0,a1,a2,a3,a4,a5,recommendation_revenue,recommendation_simple_regret,recommendation_a0,recommendation_a1,recommendation_a2,recommendation_a3,recommendation_a4,recommendation_a5,played_revenue,played_simple_regret,played_regret_cumulative
0,2,50,Joint-DMS-GP-UCB,1.3342946426025963,4.838624652346201,2.265705357397404,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.25,0.75,0.0,0.5,0.5,1.3342946426025963,2.265705357397404,0.5,0.25,0.75,0.0,0.5,0.5,1.3342946426025963,2.265705357397404,4.838624652346201
0,2,50,GP-UCB-Iso-Mat12,1.4625715506511052,4.445892022426307,2.1374284493488953,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.0,0.0,1.0,0.75,0.25,1.4625715506511052,2.1374284493488953,0.5,0.0,0.0,1.0,0.75,0.25,1.4625715506511052,2.1374284493488953,4.445892022426307
0,2,50,BPE-Iso-Mat12,0.5960482692604685,5.526837394423913,3.003951730739532,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.75,0.75,0.75,0.5,0.0,0.25,0.5960482692604685,3.003951730739532,0.75,0.75,0.75,0.5,0.0,0.25,0.5960482692604685,3.003951730739532,5.526837394423913
0,2,50,HGP-UCB-CPP,2.1173952118218686,4.963426302593945,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,4.963426302593945
0,2,50,BZ-ETC,2.0037449584362195,4.935221509281012,1.596255041563781,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.75,0.5,0.25,0.0,0.5,2.0037449584362195,1.596255041563781,0.5,0.75,0.5,0.25,0.0,0.5,2.0037449584362195,1.596255041563781,4.935221509281012
0,2,50,SPSA,2.1173952118218686,2.965209576356264,1.482604788178132,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,0.5,0.5,0.5,0.5,0.5,0.5,2.1173952118218686,1.482604788178132,2.965209576356264
0,2,50,Kleinberg,1.389798030907957,4.441234404882779,2.2102019690920436,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,1.0,0.75,0.5,1.0,0.5,0.0,1.389798030907957,2.2102019690920436,1.0,0.75,0.5,1.0,0.5,0.0,1.389798030907957,2.2102019690920436,4.441234404882779
0,2,50,Univariate,0.43750348211113776,5.938583226124612,3.162496517888863,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.0,0.0,1.0,1.0,0.0,0.0,0.43750348211113776,3.162496517888863,0.0,0.0,1.0,1.0,0.0,0.0,0.43750348211113776,3.162496517888863,5.938583226124612
0,3,50,DMS-X0-BPE,2.263290054238308,5.685348647776795,1.3367099457616924,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.5,0.5,0.5,0.75,0.6000000000000001,3.0000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2.263290054238308,1.3367099457616924,5.685348647776795
0,3,50,Joint-DMS-GP-UCB,1.767478450100055,6.671146202246147,1.8325215498999454,3.6000000000000005,2.1998278327662496e-06,3.5999978001721678,0.5,0.5,0.75,1.0,0.25,0.75,1.767478450100055,1.8325215498999454,0.5,0.5,0.75,1.0,0.25,0.75,1.767478450100055,1.8325215498999454,6.671146202246147
